url;titulo;subeditoria;data;resumo;texto_completo;imagem
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46173-perda-da-vontade-de-viver-atinge-duas-vezes-mais-meninas-que-meninos;Perda da vontade de viver atinge duas vezes mais meninas que meninos;PeNSE;25/03/2026;Proporcionalmente entre estudantes, mais que o dobro de meninas se sentiram tristes, irritadas, nervosas ou mal-humoradas que os meninos. Também...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_sociais/2026_03/PENSE_saude-mental_freepik.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46172-consumo-de-cigarro-eletronico-cresce-entre-estudantes-de-13-a-17-anos;Consumo de cigarro eletrônico cresce entre estudantes de 13 a 17 anos;PeNSE;25/03/2026;Cerca de 29,6% dos estudantes de escolas públicas e particulares entre 13 e 17 anos já experimentaram o cigarro eletrônico. As meninas são mais expostas...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/estatisticas_sociais/2026_03/PENSE-CORTE-JANA-FREEPIK.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46192-ibge-e-fundaj-inauguram-casa-brasil-no-recife-para-ampliar-acesso-a-dados-e-conhecimento-cientifico-e-estatistico;IBGE e Fundaj inauguram Casa Brasil no Recife para ampliar acesso a dados e conhecimento científico e estatístico;Casa Brasil IBGE - FUNDAJ;24/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) e a Fundação Joaquim Nabuco (Fundaj) inauguraram hoje (24/3) a nova unidade da Casa Brasil...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/casarecife7.jpeg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46185-ibge-lanca-relatorio-do-triplo-forum-em-fortaleza;IBGE lança relatório do Triplo Fórum, em Fortaleza;Triplo Fórum;24/03/2026;O Instituto Brasileiro de Geografia e Estatística lançou, nesta segunda-feira (23), o Relatório do Triplo Fórum, com assinatura do documento que...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/capa_e_destaque.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46175-ibge-inaugura-unidade-da-casa-brasil-em-parceria-com-a-fundaj-no-recife;IBGE inaugura unidade da Casa Brasil em parceria com a Fundaj no Recife;IBGE;23/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) e a Fundação Joaquim Nabuco (Fundaj) inauguram, no próximo dia 24 de março de 2026, às 15h,...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/fachada-Fundaj.jpeg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46170-ibge-divulga-resultados-da-5-pesquisa-nacional-de-saude-do-escolar-nesta-quarta-feira-25;IBGE divulga resultados da 5ª Pesquisa Nacional de Saúde do Escolar nesta quarta-feira, 25;IBGE;23/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) apresenta, nesta quarta-feira, 25 de março de 2026, às 10h, na Casa Brasil IBGE, no Rio...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/toms0716.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46169-ibge-participa-de-agendas-nacionais-e-regionais-em-marco-com-foco-em-federalismo-genero-e-divulgacao-de-dados-estatisticos;IBGE participa de agendas nacionais e regionais em março com foco em federalismo, gênero e divulgação de dados estatísticos;IBGE;23/03/2026;O mês de março será marcado por uma intensa agenda de eventos nacionais envolvendo o IBGE, com participação ativa em encontros governamentais, ações...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/CDDI_38.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46159-ibge-disponibiliza-agenda-semanal-com-programacoes-para-os-dias-23-a-27-de-marco;IBGE disponibiliza Agenda semanal com programações para os dias 23 a 27 de março;;23/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) disponibilizou hoje (23) a Agenda IBGE para a semana dos dias 23 a 27 de março. A edição...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2024_02/Agenda-IBGE_THUMB.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46165-em-sao-paulo-ibge-chega-a-365-atendimentos-na-caravana-federativa;Em São Paulo, IBGE chega a 365 atendimentos na Caravana Federativa;IBGE;20/03/2026;Durante a Caravana Federativa realizada em São Paulo, nos dias 19 e 20, o Instituto Brasileiro de Geografia e Estatística (IBGE) realizou 365 atendimentos...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/caravan1.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46163-ibge-retoma-a-presenca-na-governanca-estatistica-global-apos-serie-de-encontros-internacionais;IBGE retoma a presença na Governança Estatística Global após série de encontros internacionais;IBGE;20/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) voltou a ocupar, em 2026, um assento na Comissão Estatística das Nações Unidas após eleição...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/zero1.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46153-ibge-lanca-revisao-tecnica-das-regioes-fitoecologicas-do-brasil;IBGE lança revisão técnica das Regiões Fitoecológicas do Brasil;Geociências;20/03/2026;O Instituto Brasileiro de Geografia e Estatística (IBGE) divulgou hoje (20) a atualização do Mapa de Regiões Fitoecológicas e Outras Áreas. O produto...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/geociencias/2026_03/dgc_2.jpg
https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/46157-ibge-promove-a-oficina-panorama-e-imersao-no-12-censo-agropecuario-florestal-e-aquicola-nas-seis-cidades-que-receberao-a-2-prova-piloto;IBGE promove a oficina “Panorama e Imersão no 12º Censo Agropecuário, Florestal e Aquícola” nas seis cidades que receberão a 2ª Prova Piloto;12º Censo Agro;20/03/2026;No dia 27 de março, o Instituto Brasileiro de Geografia e Estatística - IBGE realizará oficinas abertas à sociedade para apresentar o 12º Censo Agropecuário,...;;https://agenciadenoticias.ibge.gov.br/images/agenciadenoticias/ibge/2026_03/imagem_curso_censo_agro_agencia.jpg
